titleThai,titleEnglish,genre,CEFR,thai,english
,Antiheroes,drama,B1,,
,April in Norway,culture,B1,,
,Atomic Habits,psychology,B1,,
,August in Norway,culture,B1,,
,Berlin,travel,B1,,
,Biohacking,health,B1,,
,Bioluminescent Animals,science,B1,,
,Birth Order Theory,psychology,B1,,
,Blue Zones,health,B1,,
,Buddhism,philosophy,B1,,
,Clichés,drama,B1,,
,Climate Change,science,B1,,
,Complaining About a Service,dialogue,B1,,
,Confessions of a Bored Vampire,monologue,B1,,
,Cooking in a Hostel Kitchen,monologue,B1,,
,Dead Languages,language,B1,,
,December in Norway,culture,B1,,
,Democracy in Ancient Athens,history,B1,,
,Digital Detoxes,health,B1,,
,Domestication,science,B1,,
,Dracula,horror,B1,,
,February in Norway,culture,B1,,
,Flavor Pairing,food,B1,,
,Frankenstein,horror,B1,,
,Fungi,science,B1,,
,Game Design,technology,B1,,
,Handling a Disagreement,dialogue,B1,,
,Hannah Arendt,biography,B1,,
,Impostor Syndrome,psychology,B1,,
,Introducing Myself,monologue,B1,,
,July in Norway,culture,B1,,
,Learning a New Language,monologue,B1,,
,Liminality,drama,B1,,
,Magic Wands,fantasy,B1,,
,Making Friends While Traveling,travel,B1,,
,March in Norway,culture,B1,,
,Minimalism,philosophy,B1,,
,Nintendo,culture,B1,,
,November in Norway,culture,B1,,
,Planning a Day of Adventure,monologue,B1,,
,Public Transit Maps,travel,B1,,
,Regret,psychology,B1,,
,Secret Passageways,fantasy,B1,,
,Smart Cities,technology,B1,,
,Social Anxiety,psychology,B1,,
,Stoicism,philosophy,B1,,
,Stories Within Stories,drama,B1,,
,Superfoods,health,B1,,
,Sustainable Seafood,food,B1,,
,Tactile Learning,psychology,B1,,
,The Airport Check-In,dialogue,B1,,
,The Basics of Coding,technology,B1,,
,The Berlin Wall,history,B1,,
,The Big Bang Theory,science,B1,,
,The Currency Exchange,dialogue,B1,,
,The Dunning–Kruger Effect,psychology,B1,,
,The Hero’s Journey,fantasy,B1,,
,The History of Maps,history,B1,,
,The Industrial Revolution,history,B1,,
,The Psychology of Happiness,psychology,B1,,
,The Renaissance,history,B1,,
,The Sámi People,culture,B1,,
,The Secret Energy of Plants,science,B1,,
,The Shining,horror,B1,,
,The Small Choices That Shape Us,dialogue,B1,,
,The Three-Body Problem,science fiction,B1,,
,The Truman Show,drama,B1,,
,The Wizard of Oz,fantasy,B1,,
,Tiny Homes,culture,B1,,
,Tragic Flaws in Literature,drama,B1,,
,Tropes,drama,B1,,
,Unlikely Alliances in History,history,B1,,
,Unusual Modes of Transportation,travel,B1,,
,Vaccines,health,B1,,
,Viruses,science,B1,,
,"Wicked, Part I",fantasy,B1,,
,"Wicked, Part II",fantasy,B1,,
,Writing Systems,language,B1,,
,AI and Medicine,technology,B2,,
,Alternate History,fantasy,B2,,
,Ancient Rome,history,B2,,
,Animal Rights,philosophy,B2,,
,Artificial Intelligence in Fiction,science fiction,B2,,
,Atheism,philosophy,B2,,
,Black Holes,science,B2,,
,Book Burnings,history,B2,,
,Cashless Societies,technology,B2,,
,Christianity,philosophy,B2,,
,Circadian Rhythms,health,B2,,
,Cognitive Biases,psychology,B2,,
,Conspiracy Theories,psychology,B2,,
,Craving Versus Longing,psychology,B2,,
,Cyberpunk,science fiction,B2,,
,Digital Nomads,culture,B2,,
,Dreams as a Narrative Devices,drama,B2,,
,Dualities in Characters,drama,B2,,
,Eternal Sunshine of the Spotless Mind,drama,B2,,
,Ethical Consumerism,philosophy,B2,,
,Exoplanets,science,B2,,
,Exploring a Haunted House,horror,B2,,
,Feminism,politics,B2,,
,Francoist Spain,history,B2,,
,Friedrich Nietzsche,biography,B2,,
,Gay Icons,culture,B2,,
,Homo Deus,history,B2,,
,Islam,philosophy,B2,,
,Judaism,philosophy,B2,,
,Liberalism,politics,B2,,
,Lost in Space,science fiction,B2,,
,Lost in Translation,drama,B2,,
,Maglev Trains,technology,B2,,
,Meditation,psychology,B2,,
,Mental Health,health,B2,,
,Mesopotamia,history,B2,,
,Mob Mentalities,psychology,B2,,
,Modern Dictatorships,politics,B2,,
,Modern Propaganda,politics,B2,,
,Multitasking,psychology,B2,,
,Natalie Wynn,philosophy,B2,,
,Neurodiversity,psychology,B2,,
,Nineteen Eighty-Four,drama,B2,,
,Norway–United States Relations,history,B2,,
,Overcoming a Language Barrier,monologue,B2,,
,Personality Traits,psychology,B2,,
,Phoenixes,fantasy,B2,,
,Procrastination,psychology,B2,,
,Queer Life in Norway,culture,B2,,
,Sapiens,history,B2,,
,Scandinavian Design,culture,B2,,
,Smartphones,technology,B2,,
,Social Media,technology,B2,,
,Socrates' Quest for Truth,philosophy,B2,,
,Staple Foods,food,B2,,
,Terraforming Mars,science fiction,B2,,
,The Allegory of the Cave,philosophy,B2,,
,The Allure of Hidden Places,psychology,B2,,
,The Cabin in the Dark,horror,B2,,
,The City in the Trees,fantasy,B2,,
,The Cold War,history,B2,,
,The Crisis of Masculinity,culture,B2,,
,The Evening by the Fjord,dialogue,B2,,
,The Fear of Missing Out,psychology,B2,,
,The Lives of Others,drama,B2,,
,The Nation-State,politics,B2,,
,The Norse Gods,fantasy,B2,,
,The Placebo Effect,psychology,B2,,
,The Psychology of Loneliness,psychology,B2,,
,The Raven,horror,B2,,
,The Role of Travel in Self-Discovery,travel,B2,,
,The Space Race,history,B2,,
,The Spanish Civil War,history,B2,,
,The Spanish Empire,history,B2,,
,The Theory of Evolution,science,B2,,
,The Uncanny Valley,psychology,B2,,
,The United Nations,politics,B2,,
,Tokyo,travel,B2,,
,Vegetarian Cooking,food,B2,,
,What is Beauty?,philosophy,B2,,
,Why I Collect Maps,monologue,B2,,
,World War I,history,B2,,
,World War II,history,B2,,
,World-Building,fantasy,B2,,
,Zen Buddhism,philosophy,B2,,
,Alan Watts,biography,C,,
,An Enemy of the People,drama,C,,
,Arbeiderpartiet,politics,C,,
,Authoritarian Populism,politics,C,,
,Catching Up After Years Apart,dialogue,C,,
,Colonialism,history,C,,
,Death in Philosophy,philosophy,C,,
,Envy,psychology,C,,
,Existentialism,philosophy,C,,
,Fascism,politics,C,,
,Fermented Foods,food,C,,
,Free Will,philosophy,C,,
,Fremskrittspartiet,politics,C,,
,Horseshoe Theory,politics,C,,
,How Republics Become Dictatorships,politics,C,,
,Høyre,politics,C,,
,Identity,psychology,C,,
,Impermanence,philosophy,C,,
,Marxism,politics,C,,
,Nothingness,philosophy,C,,
,Peer Gynt,drama,C,,
,Political Satire,politics,C,,
,Sigmund Freud,biography,C,,
,Social Welfare States,politics,C,,
,Socratic Philosophy,philosophy,C,,
,"Synecdoche, New York",psychology,C,,
,The Banality of Evil,philosophy,C,,
,The Centre Party,politics,C,,
,The Christian Democratic Party,politics,C,,
,The Constitution of Norway,politics,C,,
,The Good Life,philosophy,C,,
,The Green Party,politics,C,,
,The History of Disinformation,history,C,,
,The Kafkaesque,drama,C,,
,The Legend of Zelda - Ocarina of Time,culture,C,,
,The Liberal Party,politics,C,,
,The Metamorphosis,drama,C,,
,The Paradox of Choice,psychology,C,,
,The Philosophy of Second Languages,philosophy,C,,
,The Red Party,politics,C,,
,The Socialist Left Party,politics,C,,
,The Weight of Ordinary Lives,dialogue,C,,
,The Wild Duck,drama,C,,
,Time Travel,fantasy,C,,
,White Lies,philosophy,C,,
